source_site,product_url,image_url,brand,variant_id,product_id,price_egp,original_price_egp,in_stock,is_best_seller,is_new_arrival,seller_name,category_l3,model,storage_gb,ram_gb,network,sim_config,color
btech,https://btech.com/en/p/82f1a686-4373-43d5-b79c-19c02f8408ff,4/6/5/f/465f167c9f4e964a29f028dd5247bae5f1273df5_imgi_94_black_3_obasvupdqwwmzwwn_3.jpeg,Infinix,82f1a686-4373-43d5-b79c-19c02f8408ff,a6844b2a-ae27-4a09-8585-ce96917db568,6330.0,6330.0,True,True,False,Elhashim Store,Smart Phones,Infinix Smart 20,64.0,4.0,4G,Dual-SIM,Shadow Black
btech,https://btech.com/en/p/760705ec-59eb-4196-a844-687dfb44e8c6,f/a/2/f/fa2f1ca443cbc3f983f400ef43cc035773dd4ca6_s_l1600__2_.jpg,Infinix,760705ec-59eb-4196-a844-687dfb44e8c6,a6844b2a-ae27-4a09-8585-ce96917db568,6835.0,6835.0,True,True,False,Elhashim Store,Smart Phones,Infinix Smart 20,128.0,4.0,4G,Dual-SIM,Polaris Titanium
btech,https://btech.com/en/p/95ea8720-6e24-436b-bc06-a4cc2f09f5aa,b/c/2/f/bc2f1f5328bae6e875c5faa2e4ca991d3d707a43_ca4b7ddb1ac116223412c9c408fa44fa8c7f186e244901ed7b5f80e46374a77b.jpeg,Samsung,95ea8720-6e24-436b-bc06-a4cc2f09f5aa,c9a4d732-be6e-4ed4-bb9b-772d53e488f2,6798.0,6798.0,True,True,False,Remoz,Smart Phones,Samsung A07,64.0,4.0,4G LTE,Dual-SIM,Black
btech,https://btech.com/en/p/ba7338f2-0084-4d9b-b80b-3664df6ac7dc,9/e/f/d/9efdd1545183b914e0f1c33c54dddfe491a139f8_ca4b7ddb1ac116223412c9c408fa44fa8c7f186e244901ed7b5f80e46374a77b.jpeg,Samsung,ba7338f2-0084-4d9b-b80b-3664df6ac7dc,c9a4d732-be6e-4ed4-bb9b-772d53e488f2,8888.0,8888.0,True,True,False,Ehab Group,Smart Phones,Samsung A07,128.0,6.0,4G LTE,Dual-SIM,Black
btech,https://btech.com/en/p/012251d6-c872-47db-be03-c4e12687f205,a/9/8/9/a989cb00c239c01e0a04be611bcc20fa32ab30d5_imgi_94_black_3_obasvupdqwwmzwwn_3.jpeg,Infinix,012251d6-c872-47db-be03-c4e12687f205,a6844b2a-ae27-4a09-8585-ce96917db568,6830.0,6930.0,True,True,False,B.TECH,Smart Phones,Infinix Smart 20,128.0,4.0,4G,Dual-SIM,Shadow Black
btech,https://btech.com/en/p/xiaomi-redmi-15c-256gb-8gb-ram-4g-dual-sim-midnight-gray,6/d/c/7/6dc7cfcb868b1a0e2bb4dcada36a28bc4efeff6e_bb722adf1f341329739bedc57eaa21f76a72ae75b8e728772601618256710403.jpg,Xiaomi,fe57ee29-a064-483e-a97c-f1eba93ebb77,122229b5-28de-4c40-a2c2-9344d1d313e1,8949.0,9499.0,True,True,False,B.TECH,Smart Phones,Xiaomi Redmi 15C,256.0,8.0,4G LTE,Dual-SIM,Midnight Black
btech,https://btech.com/en/p/samsung-galaxy-a17-256gb-8gb-ram-4g-dual-sim-black,6/f/1/d/6f1d19227e64fce269518fe407947b6a800c3a74_imgi_2_4dabf6d9f656c40db2f76b1b42b683d95776831528fb89445d42a1443f9782e9.jpg,Samsung,b4490384-2bdd-4913-bb39-17294c83de03,112e49f8-cdc2-418b-bacb-c59d2b370ae3,13989.0,13989.0,True,True,False,Remoz,Smart Phones,Samsung Galaxy A17,256.0,8.0,4G LTE,Dual-SIM,Black
btech,https://btech.com/en/p/5b726b61-7507-404f-9447-4dc0305f67f2,c/0/0/0/c000a9bb278050711fdf62548af402e4f339d9e4_ca4b7ddb1ac116223412c9c408fa44fa8c7f186e244901ed7b5f80e46374a77b__1_.jpeg,Samsung,5b726b61-7507-404f-9447-4dc0305f67f2,c9a4d732-be6e-4ed4-bb9b-772d53e488f2,7899.0,7899.0,True,True,False,ISM Mobile Shop,Smart Phones,Samsung A07,128.0,4.0,4G LTE,Dual-SIM,Black
btech,https://btech.com/en/p/xiaomi-redmi-15c-256gb-8gb-ram-4g-dual-sim-moonlight-blue,7/7/9/3/7793bbc61c5d8475bc954db523f6194d2c655876_802659818cd2b91f7a0912fc46409ec240f5e04afe8ec0db19299bdfa723024b.jpg,Xiaomi,aa8a0954-213d-45f9-9b00-85f3e18929c4,122229b5-28de-4c40-a2c2-9344d1d313e1,9110.0,9110.0,True,True,False,Remoz,Smart Phones,Xiaomi Redmi 15C,256.0,8.0,4G LTE,Dual-SIM,Moonlight Blue
btech,https://btech.com/en/p/864d20c8-9b01-4aac-ab53-f6ce0ef7321b,b/9/3/d/b93d9fed02f444b84495b0a8fa81862870f57a05_Infinix_Smart_20_Sunlike_Orange_1.jpg,Infinix,864d20c8-9b01-4aac-ab53-f6ce0ef7321b,a6844b2a-ae27-4a09-8585-ce96917db568,7371.0,7371.0,True,True,False,Elhashim Store,Smart Phones,Infinix Smart 20,128.0,4.0,4G,Dual-SIM,Sunlike Orange
